id,added_date,removed_date,created_at,updated_at,category,order,risk_score_answer_a_no_change,risk_score_answer_a_change,risk_score_answer_b_no_change,risk_score_answer_b_change
1,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,0,1,1,0,0
2,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,1,1,1,0,0
3,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,2,1,1,0,0
4,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,3,1,1,0,0
5,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,4,1,1,0,0
6,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,5,1,1,0,0
7,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,6,1,1,0,0
8,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,7,1,1,0,0
9,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,8,1,1,0,0
10,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",1,9,1,1,0,0
11,"2015-03-04 10:04:02","2015-04-30 12:00:00","2015-08-10 10:31:37","2015-08-10 10:31:37",1,10,1,1,0,0
12,"2015-03-04 10:04:02","2015-06-22 11:42:10","2015-08-10 10:31:37","2015-08-10 10:31:37",1,11,1,1,0,0
13,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",2,0,1,1,0,0
14,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2017-03-29 07:08:11",2,1,1,1,0,0
15,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",2,2,1,1,0,0
16,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2017-03-29 07:08:21",2,3,1,1,0,0
17,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2017-03-29 07:08:23",2,4,1,1,0,0
18,"2015-03-04 10:04:02",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",3,0,1,1,0,0
19,"2015-04-08 12:41:43",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",3,1,1,1,0,0
20,"2015-04-08 12:41:49",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",3,2,1,1,0,0
21,"2015-04-08 12:41:49",NULL,"2015-08-10 10:31:37","2017-03-29 08:43:36",3,3,1,1,0,0
22,"2015-04-08 12:41:50",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",3,4,1,1,0,0
23,"2015-04-08 12:41:50",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,0,1,1,0,0
24,"2015-04-08 12:41:50",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,1,1,1,0,0
25,"2015-04-08 12:41:51",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,2,1,1,0,0
26,"2015-04-08 12:41:51",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,3,1,1,0,0
27,"2015-04-08 12:41:52",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,4,1,1,0,0
28,"2015-04-08 12:41:52",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,5,1,1,0,0
29,"2015-04-08 12:41:52",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",4,6,1,1,0,0
30,"2015-04-08 12:41:53",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",5,0,0,0,1,1
31,"2015-04-08 12:41:53",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",5,1,0,0,1,1
32,"2015-04-08 12:41:54",NULL,"2015-08-10 10:31:37","2015-08-10 10:31:37",5,2,0,0,1,1
