id,question_id,language_code,question,further_information,possible_answer_a,possible_answer_b,created_at,updated_at
1,1,en,"Have you experienced increased seizure frequency?","If you have had a seizure(s) it is important that you tell your doctor or nurse. Knowing the type of epilepsy and seizure(s) you experience and how many you have will help them to assess your risk.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
2,2,en,"Have you experienced a Generalised Seizure or Generalised Tonic-Clonic Seizure? (i.e. loss of consciousness during a convulsion, sometimes called 'grand-mal’)","Generalised tonic-clonic are seizures that do increase risk and can be life-threatening. Risk does increase the more you have so it is important that you tell your doctor or nurse the precise number so that you can discuss your care plan.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
3,3,en,"Have you experienced a seizure during sleep?","If you know you experience seizures during sleep or if you have noticed on waking that you have unexplained injuries, changes to energy levels in the morning, not feeling well rested (more than usual), headache, and any other changes which cannot be explained, seek an appointment with your GP or epilepsy specialist soon.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
4,4,en,"Do your seizures sometimes include convulsions that last longer than 5 minutes?","If you experience convulsive seizures that last longer than 5 minutes there are good rescue medications that can be prescribed by your medical team and, if appropriate, people can be trained to give this to you in the community.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
5,5,en,"Do your seizures sometimes cluster i.e happen closely one after another during one day or over a couple of days?","If you experience three or more convulsive seizures in one  hour there are good rescue medications that can be prescribed by your medical team and, if appropriate, people can be trained to give this to you in the community.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
6,6,en,"Have you experienced any increase in the number or frequency of your seizures?","It is important you tell your doctor or nurse the precise  number, frequency and type of seizures you have, so they can prescribe the correct drug(s) at the appropriate dose(s) and consider other treatment options. ",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
7,7,en,"Have you experienced/perceived a deterioration in the seizures you normally experience?","Your epilepsy may change over time. Report any changes you experience to your doctor or nurse.",Yes,No,"2015-08-10 10:31:37","2020-10-21 09:46:18"
8,8,en,"Have you had any injuries/ED/999/emergency services calls after a seizure?","Increase in seizure frequency or intensity is the most important risk factor.  If you have needed to increase use of emergency medication, had injuries, called out an ambulance or needed assessments at A&E, you should consider seeking an appointment with your GP or your epilepsy specialist soon.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
9,9,en,"Do you use emergency/rescue medication? (eg: midazolam, diazepam, clobazam, clonazepam or lorazepam)","Rescue medication(s) are often prescribed if you experience convulsive seizures that last longer than 5 minutes or you have three or more of these in one hour and, if appropriate, people can be trained to give this to you in the community. This needs to be part of a care plan agreed with your doctor or nurse.",Yes,No,"2015-08-10 10:31:37","2020-10-21 09:47:23"
10,10,en,"If you use rescue medication has this use increased?","If you are using this more then this suggests the intensity and/or frequency of seizures has increased. Seek an appointment with your GP or epilepsy specialist soon.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
11,11,en,"Do you use rescue medication (e.g. midazolam)?","Rescue medication(s) are often prescribed if you experience convulsive seizures that last longer than 5 minutes or you have three or more of these in one hour and, if appropriate, people can be trained to give this to you in the community. This needs to be part of a care plan agreed with your doctor or nurse.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
12,12,en,"Do you take more than two different anti-epilepsy medications daily?","Being on more than one medication suggests that that your epilepsy may be more difficult to treat and that there is a good reason for you having more than one prescription.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
13,13,en,"Have you experienced any noticeable disturbance in sleep (e.g. unaccounted injuries, bruises, wetting the bed etc.)?","A small number of people with epilepsy are prone to seizures at night.  If there is any noticeable change in sleep pattern experienced by yourself or others it might need further enquiry. Some pointers of potential concern include waking up with unexplained injuries, changes to energy levels in the morning, not feeling well rested (more than usual), headache, and any other changes which cannot be explained by recent social, psychological or medical events. In such a situation seek an appointment with your GP or epilepsy specialist soon.",Yes,No,"2015-08-10 10:31:37","2020-10-21 09:49:09"
14,14,en,"Have you had any new physical health condition diagnosed?","There are some medical conditions where the condition itself or the treatment may influence your epilepsy.  If you have a consultation for something other than epilepsy and/or are started on a medication it is useful to ask your doctor if the medication could effect your anti-epilepsy medications or your epilepsy.",Yes,No,"2015-08-10 10:31:37","2015-08-10 10:31:37"
