id,date_added,date_removed,min,max,step,category,created_at,updated_at
1,"2015-05-07 11:53:21",NULL,100,2000,10,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
2,"2015-05-07 11:53:21",NULL,3,500,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
3,"2015-05-07 11:53:21",NULL,60,180,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
4,"2015-05-07 11:53:21",NULL,125,1500,125,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
5,"2015-05-07 11:53:21",NULL,600,2500,150,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
6,"2015-05-07 11:53:21",NULL,10,2500,10,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
7,"2015-05-07 11:53:21",NULL,25,700,25,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
8,"2015-05-07 11:53:21",NULL,2,12,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
9,"2015-05-07 11:53:21",NULL,150,1200,150,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
10,"2015-05-07 11:53:21",NULL,200,1600,100,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
11,"2015-05-07 11:53:21",NULL,20,60,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
12,"2015-05-07 11:53:21",NULL,500,8000,500,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
13,"2015-05-07 11:53:21",NULL,300,2400,10,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
14,"2015-05-07 11:53:21",NULL,400,1200,400,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
15,"2015-05-07 11:53:21",NULL,50,500,50,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
16,"2015-05-07 11:53:21",NULL,25,500,25,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
17,"2015-05-07 11:53:21",NULL,250,1500,250,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
18,"2015-05-07 11:53:21",NULL,50,200,50,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
19,"2015-05-07 11:53:21",NULL,5,45,5,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
20,"2015-05-07 11:53:21",NULL,300,4800,300,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
21,"2015-05-07 11:53:21",NULL,25,600,25,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
22,"2015-05-07 11:53:21",NULL,500,2000,250,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
23,"2015-05-07 11:53:21",NULL,1,3,0.5,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
24,"2015-05-07 11:53:21",NULL,75,200,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
25,"2015-05-07 11:53:21",NULL,10,250,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
26,"2015-05-07 11:53:21",NULL,75,225,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
27,"2015-05-07 11:53:21",NULL,75,300,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
28,"2015-05-07 11:53:21",NULL,10,300,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
29,"2015-05-07 11:53:21",NULL,140,210,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
30,"2015-05-07 11:53:21",NULL,30,150,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
